County of residence,Population,At least one dose,At least one dose percent,Fully vaccinated,Fully vaccinated percent,Additional Dose 1 Received Count,Additional Dose 1 Received Percent,Date
Litchfield,180333,117146,64.96,110066,61.03,,,08/04/2021
Middlesex,162436,115093,70.85,108365,66.71,,,08/04/2021
New Haven,854757,532139,62.26,496721,58.11,,,08/04/2021
New London,265206,160365,60.47,151492,57.12,,,08/04/2021
Tolland,150721,88191,58.51,83631,55.49,,,08/04/2021
Windham,116782,60711,51.99,56996,48.81,,,08/04/2021
Resident out of state,,71018,,58098,,,,08/04/2021
Address pending validation,,16479,,15216,,,,08/04/2021
Fairfield,943332,632329,67.03,577051,61.17,,,08/12/2021
Hartford,891720,574773,64.46,531801,59.64,,,08/12/2021
Litchfield,180333,118671,65.81,110842,61.47,,,08/12/2021
Middlesex,162436,116497,71.72,109120,67.18,,,08/12/2021
New Haven,854757,541629,63.37,501108,58.63,,,08/12/2021
New London,265206,162732,61.36,152576,57.53,,,08/12/2021
Tolland,150721,89284,59.24,84221,55.88,,,08/12/2021
Windham,116782,61787,52.91,57523,49.26,,,08/12/2021
Resident out of state,,72655,,58615,,,,08/12/2021
Address pending validation,,16561,,15229,,,,08/12/2021
Fairfield,943332,639851,67.83,582706,61.77,,,08/18/2021
Hartford,891720,580910,65.14,536657,60.18,,,08/18/2021
Litchfield,180333,119809,66.44,111759,61.97,,,08/18/2021
Middlesex,162436,117395,72.27,109944,67.68,,,08/18/2021
New Haven,854757,548157,64.13,506275,59.23,,,08/18/2021
New London,265206,164394,61.99,153823,58,,,08/18/2021
Tolland,150721,89956,59.68,84839,56.29,,,08/18/2021
Windham,116782,62505,53.52,58090,49.74,,,08/18/2021
Resident out of state,,73984,,59246,,,,08/18/2021
Address pending validation,,16572,,15215,,,,08/18/2021
Fairfield,943332,646506,68.53,588506,62.39,,,08/25/2021
Hartford,891720,586196,65.74,541951,60.78,,,08/25/2021
Litchfield,180333,120740,66.95,112683,62.49,,,08/25/2021
Middlesex,162436,118105,72.71,110803,68.21,,,08/25/2021
New Haven,854757,554283,64.85,511573,59.85,,,08/25/2021
New London,265206,165846,62.53,155300,58.56,,,08/25/2021
Tolland,150721,90588,60.1,85481,56.71,,,08/25/2021
Windham,116782,63110,54.04,58760,50.32,,,08/25/2021
Resident out of state,,75614,,59944,,,,08/25/2021
Address pending validation,,16560,,15188,,,,08/25/2021
Fairfield,943332,653528,69.28,595217,63.1,,,09/01/2021
Hartford,891720,591782,66.36,547873,61.44,,,09/01/2021
Litchfield,180333,122380,67.86,114132,63.29,,,09/01/2021
Middlesex,162436,118909,73.2,111608,68.71,,,09/01/2021
New Haven,854757,560706,65.6,517675,60.56,,,09/01/2021
New London,265206,167403,63.12,156876,59.15,,,09/01/2021
Tolland,150721,91282,60.56,86195,57.19,,,09/01/2021
Windham,116782,63875,54.7,59457,50.91,,,09/01/2021
Resident out of state,,77445,,60848,,,,09/01/2021
Address pending validation,,16545,,15149,,,,09/01/2021
Fairfield,943332,658094,69.76,600156,63.62,,,09/08/2021
Hartford,891720,595634,66.8,552457,61.95,,,09/08/2021
Litchfield,180333,123176,68.3,114972,63.76,,,09/08/2021
Middlesex,162436,119513,73.58,112272,69.12,,,09/08/2021
New Haven,854757,564646,66.06,522273,61.1,,,09/08/2021
New London,265206,168467,63.52,158171,59.64,,,09/08/2021
Tolland,150721,91844,60.94,86784,57.58,,,09/08/2021
Windham,116782,64392,55.14,59943,51.33,,,09/08/2021
Resident out of state,,79030,,61673,,,,09/08/2021
Address pending validation,,16556,,15139,,,,09/08/2021
Fairfield,943332,662576,70.24,605791,64.22,,,09/15/2021
Hartford,891720,599843,67.27,557551,62.53,,,09/15/2021
Litchfield,180333,123893,68.7,115919,64.28,,,09/15/2021
Middlesex,162436,120066,73.92,112879,69.49,,,09/15/2021
New Haven,854757,568665,66.53,527749,61.74,,,09/15/2021
New London,265206,169609,63.95,159498,60.14,,,09/15/2021
Tolland,150721,92363,61.28,87349,57.95,,,09/15/2021
Windham,116782,64982,55.64,60608,51.9,,,09/15/2021
Resident out of state,,80662,,62500,,,,09/15/2021
Address pending validation,,16529,,15117,,,,09/15/2021
Fairfield,943332,667092,70.72,611815,64.86,,,09/22/2021
Hartford,891720,603887,67.72,562595,63.09,,,09/22/2021
Litchfield,180333,124616,69.1,117002,64.88,,,09/22/2021
Middlesex,162436,120707,74.31,113671,69.98,,,09/22/2021
New Haven,854757,572357,66.96,533124,62.37,,,09/22/2021
New London,265206,172602,65.08,162667,61.34,,,09/22/2021
Tolland,150721,92853,61.61,87970,58.37,,,09/22/2021
Windham,116782,65558,56.14,61211,52.41,,,09/22/2021
Resident out of state,,82413,,63807,,,,09/22/2021
Address pending validation,,15745,,14344,,,,09/22/2021
Fairfield,943332,670909,71.12,615771,65.28,,,09/29/2021
Hartford,891720,607773,68.16,566240,63.5,,,09/29/2021
Litchfield,180333,125313,69.49,117769,65.31,,,09/29/2021
Middlesex,162436,121216,74.62,114160,70.28,,,09/29/2021
New Haven,854757,576178,67.41,536944,62.82,,,09/29/2021
New London,265206,173551,65.44,163595,61.69,,,09/29/2021
Tolland,150721,93326,61.92,88449,58.68,,,09/29/2021
Windham,116782,66045,56.55,61667,52.81,,,09/29/2021
Resident out of state,,84160,,64729,,,,09/29/2021
Address pending validation,,15666,,14249,,,,09/29/2021
Fairfield,943332,674835,71.54,619468,65.67,,,10/06/2021
Hartford,891720,611367,68.56,569961,63.92,,,10/06/2021
Litchfield,180333,126062,69.91,118465,65.69,,,10/06/2021
Middlesex,162436,121895,75.04,114765,70.65,,,10/06/2021
New Haven,854757,580035,67.86,540841,63.27,,,10/06/2021
New London,265206,175540,66.19,165448,62.38,,,10/06/2021
Tolland,150721,93872,62.28,88973,59.03,,,10/06/2021
Windham,116782,66542,56.98,62262,53.31,,,10/06/2021
Resident out of state,,87041,,66329,,,,10/06/2021
Address pending validation,,16697,,15214,,,,10/06/2021
Fairfield,943332,678067,71.88,622717,66.01,,,10/13/2021
Hartford,891720,614187,68.88,573294,64.29,,,10/13/2021
Litchfield,180333,126578,70.19,119093,66.04,,,10/13/2021
Middlesex,162436,122303,75.29,115191,70.91,,,10/13/2021
